Chromosome	Midpoint	GenesPerMb	DNATEsPerMb	RNATEsPerMb
1	249000001.0	20.0	26.0	65.0
1	249500001.0	20.0	34.0	63.0
1	250000001.0	32.0	39.0	62.0
1	250500001.0	29.0	27.0	40.0
1	251000001.0	10.0	15.0	39.0
1	251500001.0	14.0	25.0	65.0
1	252000001.0	25.0	29.0	69.0
1	252500001.0	28.0	30.0	55.0
1	253000001.0	28.0	38.0	55.0
1	253500001.0	17.0	26.0	69.0
1	254000001.0	16.0	21.0	67.0
1	254500001.0	17.0	28.0	65.0
1	255000001.0	20.0	32.0	65.0
1	255500001.0	21.0	36.0	67.0
1	256000001.0	18.0	35.0	71.0
1	256500001.0	19.0	31.0	70.0
1	257000001.0	14.0	27.0	72.0
1	257500001.0	18.0	32.0	72.0
1	258000001.0	21.0	26.0	57.0
1	258500001.0	24.0	29.0	47.0
1	259000001.0	24.0	44.0	58.0
1	259500001.0	23.0	29.0	67.0
1	260000001.0	23.0	23.0	68.0
1	260500001.0	19.0	32.0	68.0
1	261000001.0	20.0	32.0	64.0
1	261500001.0	23.0	35.0	59.0
1	262000001.0	21.0	39.0	63.0
1	262500001.0	33.0	42.0	64.0
1	263000001.0	38.0	42.0	60.0
1	263500001.0	31.0	38.0	61.0
1	264000001.0	27.0	33.0	68.0
1	264500001.0	19.0	31.0	68.0
1	265000001.0	19.0	29.0	63.0
1	265500001.0	21.0	34.0	70.0
1	266000001.0	16.0	35.0	69.0
1	266500001.0	15.0	25.0	60.0
1	267000001.0	26.0	23.0	63.0
1	267500001.0	29.0	33.0	68.0
1	268000001.0	26.0	37.0	66.0
1	268500001.0	22.0	31.0	58.0
1	269000001.0	29.0	28.0	60.0
1	269500001.0	41.0	34.0	62.0
1	270000001.0	25.0	36.0	61.0
1	270500001.0	11.0	29.0	58.0
1	271000001.0	14.0	30.0	62.0
1	271500001.0	24.0	26.0	76.0
1	272000001.0	31.0	24.0	71.0
1	272500001.0	33.0	42.0	55.0
1	273000001.0	28.0	42.0	56.0
1	273500001.0	24.0	36.0	67.0
1	274000001.0	31.0	38.0	67.0
1	274500001.0	25.0	31.0	63.0
1	275000001.0	22.0	25.0	60.0
1	275500001.0	24.0	29.0	56.0
1	276000001.0	15.0	30.0	63.0
1	276500001.0	13.0	36.0	64.0
1	277000001.0	19.0	40.0	59.0
1	277500001.0	21.0	31.0	61.0
1	278000001.0	21.0	36.0	58.0
1	278500001.0	27.0	39.0	55.0
1	279000001.0	30.0	29.0	57.0
1	279500001.0	32.0	32.0	57.0
1	280000001.0	25.0	34.0	63.0
1	280500001.0	23.0	32.0	67.0
1	281000001.0	36.0	36.0	69.0
1	281500001.0	30.0	27.0	67.0
1	282000001.0	21.0	24.0	62.0
1	282500001.0	24.0	34.0	62.0
1	283000001.0	26.0	42.0	64.0
1	283500001.0	31.0	43.0	62.0
1	284000001.0	34.0	39.0	59.0
1	284500001.0	27.0	40.0	57.0
1	285000001.0	24.0	35.0	56.0
1	285500001.0	34.0	33.0	66.0
1	286000001.0	33.0	39.0	68.0
1	286500001.0	27.0	36.0	62.0
1	287000001.0	26.0	37.0	70.0
1	287500001.0	25.0	44.0	67.0
1	288000001.0	39.0	40.0	55.0
1	288500001.0	39.0	43.0	53.0
1	289000001.0	25.0	39.0	57.0
1	289500001.0	14.0	25.0	69.0
1	290000001.0	20.0	26.0	64.0
1	290500001.0	25.0	34.0	58.0
1	291000001.0	20.0	38.0	69.0
1	291500001.0	23.0	32.0	69.0
1	292000001.0	30.0	29.0	60.0
1	292500001.0	34.0	27.0	57.0
1	293000001.0	29.0	32.0	57.0
1	293500001.0	25.0	38.0	60.0
1	294000001.0	25.0	40.0	61.0
1	294500001.0	34.0	42.0	64.0
1	295000001.0	26.0	35.0	71.0
1	295500001.0	34.0	33.0	75.0
1	296000001.0	47.0	32.0	71.0
1	296500001.0	25.0	29.0	68.0
1	297000001.0	20.0	32.0	66.0
1	297500001.0	31.0	35.0	55.0
1	298000001.0	25.0	35.0	56.0
1	298500001.0	28.0	38.0	66.0
1	299000001.0	35.0	38.0	71.0
1	299500001.0	26.0	23.0	62.0
1	300000001.0	28.0	20.0	54.0
1	300500001.0	41.0	34.0	56.0
1	301000001.0	44.0	36.0	56.0
1	301500001.0	35.0	27.0	57.0
1	302000001.0	38.0	27.0	60.0
1	302500001.0	37.0	35.0	62.0
1	303000001.0	27.0	37.0	61.0
1	303500001.0	32.0	40.0	63.0
1	304000001.0	31.0	35.0	65.0
1	304500001.0	32.0	31.0	64.0
1	305000001.0	32.0	37.0	54.0
1	305500001.0	24.0	36.0	49.0
1	306000001.0	31.0	31.0	59.0
1	306500001.0	27.0	34.0	63.0
1	306770859.0	14.7678857556	36.9197143891	60.917528742
10	500001.0	21.0	30.0	67.0
10	1000001.0	34.0	38.0	58.0
10	1500001.0	33.0	48.0	64.0
10	2000001.0	41.0	38.0	72.0
10	2500001.0	39.0	27.0	60.0
10	3000001.0	21.0	27.0	59.0
10	3500001.0	32.0	32.0	72.0
10	4000001.0	54.0	32.0	64.0
10	4500001.0	42.0	37.0	58.0
10	5000001.0	37.0	35.0	67.0
10	5500001.0	37.0	33.0	65.0
10	6000001.0	23.0	37.0	65.0
10	6500001.0	25.0	36.0	72.0
10	7000001.0	32.0	24.0	71.0
10	7500001.0	22.0	27.0	77.0
10	8000001.0	10.0	33.0	76.0
10	8500001.0	19.0	33.0	65.0
