Prop_Genes	Prop_Tandem	Prop_RNATE	Prop_DNATE	Subgenome
0.052906	0.004734	0.665105	0.127288	Maize1
0.125398	0.002388	0.651758	0.174806	Maize1
0.116298	0.024024	0.623838	0.217891	Maize1
0.081951	0.008228	0.690777	0.169053	Maize1
0.072369	0.011271	0.671683	0.233951	Maize1
0.083383	0.018766	0.772415	0.270605	Maize1
0.09953	0.0	0.671791	0.154039	Maize1
0.13951	0.010457	0.614582	0.181361	Maize1
0.120253	0.024101	0.651747	0.18163	Maize1
0.07945	0.032894	0.669393	0.233859	Maize1
0.1155	0.014184	0.671609	0.163557	Maize1
0.095611	0.0	0.632171	0.217747	Maize1
0.089985	0.012994	0.754758	0.154241	Maize1
0.079616	0.017131	0.727978	0.191365	Maize1
0.138394	0.007108	0.676458	0.125024	Maize1
0.074881	0.001344	0.746166	0.181313	Maize1
0.06103	0.00279	0.714735	0.231142	Maize1
0.150426	0.008201	0.610254	0.138007	Maize1
0.07906	0.005313	0.737803	0.214337	Maize1
0.061922	0.002937	0.76041	0.180527	Maize1
0.08698	0.016532	0.68784	0.150575	Maize1
0.069524	0.00291	0.68353	0.234538	Maize1
0.052079	0.0	0.687772	0.196502	Maize1
0.063077	0.007071	0.748282	0.113925	Maize1
0.087133	0.021828	0.679608	0.219078	Maize1
0.094445	0.014964	0.691231	0.226603	Maize1
0.04863	0.0	0.650171	0.195543	Maize1
0.04681	0.003986	0.642541	0.240937	Maize1
0.047727	0.005048	0.713657	0.252966	Maize1
0.076525	0.0	0.700747	0.232415	Maize1
0.098626	0.0	0.689344	0.303731	Maize1
0.086227	0.002056	0.687076	0.26626	Maize1
0.067941	0.003357	0.653436	0.085	Maize1
0.029373	0.008283	0.696727	0.189214	Maize1
0.023874	0.003057	0.675213	0.128569	Maize1
0.079576	0.00204	0.719979	0.204112	Maize1
0.04649	0.001823	0.637147	0.171877	Maize1
0.02323	0.0	0.79686	0.192294	Maize1
0.062247	0.015449	0.741679	0.212286	Maize1
0.052197	0.0	0.677698	0.21332	Maize1
0.043116	0.0	0.686408	0.191243	Maize1
0.02317	0.002699	0.675554	0.160711	Maize1
0.036758	0.011861	0.734378	0.145521	Maize1
0.048372	0.001663	0.639368	0.17365	Maize1
0.038078	0.0	0.68548	0.229865	Maize1
0.037293	0.0	0.673714	0.207481	Maize1
0.006317	0.0	0.776166	0.214163	Maize1
0.036796	0.0	0.70821	0.175156	Maize1
0.011176	0.0	0.699493	0.237187	Maize1
0.064998	0.016103	0.701534	0.147325	Maize1
0.020452	0.008375	0.721153	0.177671	Maize1
0.024715	0.002155	0.651047	0.153012	Maize1
0.016643	0.0	0.683078	0.146087	Maize1
0.02638	0.0	0.709248	0.163021	Maize1
0.064482	0.0	0.632897	0.164591	Maize1
0.045722	0.001962	0.741033	0.209093	Maize1
0.018007	0.001962	0.786077	0.119373	Maize1
0.027129	0.0	0.729945	0.180466	Nonsyntenic
0.041585	0.0	0.751008	0.148983	Nonsyntenic
0.064284	0.0	0.671066	0.165891	Nonsyntenic
0.039135	0.0	0.735937	0.224121	Nonsyntenic
0.023696	0.0	0.680778	0.162042	Nonsyntenic
0.06862	0.0	0.748522	0.182075	Nonsyntenic
0.046371	0.0	0.689267	0.220909	Maize1
0.066506	0.0	0.622993	0.11458	Maize1
0.114146	0.0	0.706545	0.14713	Maize1
0.026864	0.0	0.740862	0.140629	Maize1
0.039562	0.0	0.653056	0.204905	Maize1
0.026136	0.001678	0.716045	0.162411	Nonsyntenic
0.023753	0.0	0.721671	0.144337	Nonsyntenic
0.010795	0.0	0.744627	0.202704	Nonsyntenic
0.030025	0.0	0.675461	0.169614	Nonsyntenic
0.004354	0.0	0.662842	0.129251	Nonsyntenic
0.028247	0.016885	0.695138	0.274556	Nonsyntenic
0.018149	0.0	0.680429	0.159522	Nonsyntenic
0.001248	0.0	0.557538	0.104713	Nonsyntenic
0.038825	0.0	0.45339	0.105493	Nonsyntenic
0.015835	0.0	0.808733	0.124268	Maize1
0.008232	0.0	0.737366	0.119989	Maize1
0.018244	0.0	0.726202	0.134126	Maize1
0.014576	0.001608	0.732181	0.108961	Maize1
0.010886	0.004831	0.74782	0.182787	Maize1
0.01761	0.00657	0.604828	0.213659	Maize1
0.029376	0.0	0.632416	0.129206	Maize1
0.03757	0.003839	0.628706	0.212939	Maize1
0.035055	0.002175	0.713629	0.155983	Nonsyntenic
0.044714	0.011501	0.635367	0.168532	Nonsyntenic
