Interval	N_Genes	N_Tandem	N_RNATE	N_DNATE	Subgenome
2:171000000-172000000	24	9	63	31	maize2
2:172000000-173000000	12	2	65	29	maize2
2:173000000-174000000	20	4	68	41	maize2
2:174000000-175000000	16	0	61	35	Nonsyntenic
2:175000000-176000000	27	2	65	35	maize2
2:176000000-177000000	9	0	71	28	Nonsyntenic
2:177000000-178000000	18	0	71	31	Nonsyntenic
2:178000000-179000000	24	2	61	29	maize2
2:179000000-180000000	10	0	57	23	maize2
2:180000000-181000000	21	0	71	41	maize2
2:181000000-182000000	17	0	67	23	maize2
2:182000000-183000000	18	0	66	36	maize2
2:183000000-184000000	24	6	73	35	maize2
2:184000000-185000000	16	4	54	35	maize2
2:185000000-186000000	17	0	60	30	Nonsyntenic
2:186000000-187000000	11	0	57	29	Nonsyntenic
2:187000000-188000000	15	0	68	28	Nonsyntenic
2:188000000-189000000	17	5	63	48	maize2
2:189000000-190000000	23	5	67	34	maize2
2:190000000-191000000	28	1	66	47	Nonsyntenic
2:191000000-192000000	27	3	68	34	Nonsyntenic
2:192000000-193000000	27	3	63	32	maize2
2:193000000-194000000	27	5	62	35	maize2
2:194000000-195000000	31	2	64	36	maize2
2:195000000-196000000	32	2	65	35	maize2
2:196000000-197000000	20	0	72	24	maize2
2:197000000-198000000	27	0	71	31	maize2
2:198000000-199000000	17	0	69	36	maize2
2:199000000-200000000	32	9	58	36	maize2
2:200000000-201000000	25	2	66	36	maize2
2:201000000-202000000	26	3	58	29	maize2
2:202000000-203000000	37	2	61	30	maize2
2:203000000-204000000	30	13	69	29	maize2
2:204000000-205000000	37	7	56	38	maize2
2:205000000-206000000	29	3	53	35	maize2
2:206000000-207000000	28	0	63	34	maize2
2:207000000-208000000	17	0	65	29	maize2
2:208000000-209000000	26	3	57	47	maize2
2:209000000-210000000	28	4	70	32	maize2
2:210000000-211000000	56	12	57	33	maize2
2:211000000-212000000	35	0	56	31	maize2
2:212000000-213000000	25	0	58	29	maize2
2:213000000-214000000	32	0	69	37	maize2
2:214000000-215000000	33	4	62	46	maize2
2:215000000-216000000	39	2	65	49	maize2
2:216000000-217000000	33	6	57	34	Nonsyntenic
2:217000000-218000000	40	0	50	40	Nonsyntenic
2:218000000-219000000	38	0	52	35	maize2
2:219000000-220000000	41	6	66	25	Nonsyntenic
2:220000000-221000000	45	1	68	35	Nonsyntenic
2:221000000-222000000	29	0	63	27	maize2
2:222000000-223000000	34	3	65	31	maize2
2:223000000-224000000	39	4	55	47	maize2
2:224000000-225000000	31	0	68	29	maize2
2:225000000-226000000	35	2	52	32	Nonsyntenic
2:226000000-227000000	26	2	55	29	maize2
2:227000000-228000000	14	0	33	21	Nonsyntenic
2:228000000-229000000	13	1	54	23	Nonsyntenic
2:229000000-230000000	27	7	57	41	maize2
2:230000000-231000000	25	2	53	37	maize2
2:231000000-232000000	29	4	50	45	maize2
2:232000000-233000000	38	8	54	23	maize2
2:233000000-234000000	28	2	58	36	Nonsyntenic
2:234000000-235000000	30	10	60	22	Nonsyntenic
2:235000000-236000000	26	5	44	29	maize2
2:236000000-237000000	34	9	48	21	maize2
2:237000000-238000000	45	10	55	51	Nonsyntenic
2:238000000-239000000	28	8	53	27	Nonsyntenic
2:239000000-240000000	43	6	63	39	maize2
2:240000000-241000000	41	9	62	49	Nonsyntenic
2:241000000-242000000	35	0	72	31	Nonsyntenic
2:242000000-243000000	25	4	66	32	Nonsyntenic
2:243000000-244000000	24	0	61	14	maize2
2:244000000-244442276	21	0	27	19	Nonsyntenic
3:0-1000000	43	1	58	35	maize1
3:1000000-2000000	40	1	59	36	maize1
3:2000000-3000000	45	4	53	38	maize1
