Interval	N_Genes	N_Tandem	N_RNATE	N_DNATE	Subgenome
8:180000000-181000000	27	5	59	24	maize2
8:181000000-181122637	5	1	10	4	Nonsyntenic
9:0-1000000	21	2	59	38	maize1
9:1000000-2000000	26	3	67	37	maize1
9:2000000-3000000	23	5	65	30	maize1
9:3000000-4000000	16	0	54	24	maize1
9:4000000-5000000	15	0	56	40	maize1
9:5000000-6000000	21	0	62	44	maize1
9:6000000-7000000	22	7	55	30	maize1
9:7000000-8000000	27	5	58	39	maize1
9:8000000-9000000	22	2	62	39	maize1
9:9000000-10000000	30	4	56	38	maize1
9:10000000-11000000	30	3	52	34	maize1
9:11000000-12000000	29	2	72	33	maize1
9:12000000-13000000	23	6	68	32	maize1
9:13000000-14000000	23	0	64	35	maize1
9:14000000-15000000	24	6	60	34	maize1
9:15000000-16000000	26	0	62	34	maize1
9:16000000-17000000	33	8	61	26	maize1
9:17000000-18000000	28	9	60	21	maize1
9:18000000-19000000	35	4	63	29	maize1
9:19000000-20000000	41	12	73	23	maize1
9:20000000-21000000	34	9	57	38	maize1
9:21000000-22000000	16	3	65	32	maize1
9:22000000-23000000	14	2	61	37	maize1
9:23000000-24000000	22	7	59	31	maize1
9:24000000-25000000	24	0	73	39	maize1
9:25000000-26000000	31	0	77	25	maize1
9:26000000-27000000	20	2	58	27	maize1
9:27000000-28000000	21	4	60	32	maize1
9:28000000-29000000	18	0	66	33	maize1
9:29000000-30000000	13	0	67	27	Nonsyntenic
9:30000000-31000000	11	0	71	26	Nonsyntenic
9:31000000-32000000	10	1	63	24	Nonsyntenic
9:32000000-33000000	18	3	68	26	maize1
9:33000000-34000000	15	2	61	24	maize1
9:34000000-35000000	11	5	66	20	maize1
9:35000000-36000000	13	3	58	27	maize1
9:36000000-37000000	11	0	68	18	maize1
9:37000000-38000000	12	0	63	25	maize1
9:38000000-39000000	10	2	59	15	maize1
9:39000000-40000000	9	0	59	22	maize1
9:40000000-41000000	7	0	59	24	maize1
9:41000000-42000000	6	0	64	13	maize1
9:42000000-43000000	11	4	66	31	maize1
9:43000000-44000000	11	7	67	31	maize1
9:44000000-45000000	12	1	64	23	maize1
9:45000000-46000000	12	2	60	31	maize1
9:46000000-47000000	19	3	59	31	maize1
9:47000000-48000000	18	0	62	33	maize1
9:48000000-49000000	9	0	66	22	maize1
9:49000000-50000000	10	0	68	26	maize1
9:50000000-51000000	9	0	61	18	Nonsyntenic
9:51000000-52000000	4	0	70	19	Nonsyntenic
9:52000000-53000000	5	0	71	25	Nonsyntenic
9:53000000-54000000	12	2	71	29	Nonsyntenic
9:54000000-55000000	2	0	71	22	Nonsyntenic
9:55000000-56000000	4	0	113	14	Nonsyntenic
9:56000000-57000000	2	0	71	21	maize1
9:57000000-58000000	3	0	84	19	maize1
9:58000000-59000000	5	0	62	21	maize1
9:59000000-60000000	3	0	70	21	maize1
9:60000000-61000000	7	2	68	23	maize1
9:61000000-62000000	8	0	64	18	maize1
9:62000000-63000000	4	2	63	30	maize1
9:63000000-64000000	10	0	71	17	maize1
9:64000000-65000000	8	0	66	23	maize1
9:65000000-66000000	9	0	62	24	maize1
9:66000000-67000000	8	2	68	21	maize1
9:67000000-68000000	10	7	64	26	maize1
9:68000000-69000000	10	3	61	31	maize1
9:69000000-70000000	8	0	70	25	maize1
9:70000000-71000000	7	3	70	25	Nonsyntenic
9:71000000-72000000	13	0	63	27	Nonsyntenic
9:72000000-73000000	6	0	60	22	maize1
9:73000000-74000000	8	0	65	21	maize1
9:74000000-75000000	3	0	66	22	maize1
9:75000000-76000000	1	0	6	5	maize1
9:76000000-77000000	7	2	71	27	maize1
9:77000000-78000000	18	0	55	31	maize1
9:78000000-79000000	12	0	66	43	maize1
9:79000000-80000000	13	3	67	25	maize1
9:80000000-81000000	8	3	62	22	Nonsyntenic
9:81000000-82000000	9	2	73	19	maize1
9:82000000-83000000	5	0	66	32	maize1
9:83000000-84000000	4	0	62	32	maize1
9:84000000-85000000	9	0	71	25	maize1
9:85000000-86000000	8	0	64	25	maize1
9:86000000-87000000	8	0	67	17	maize1
9:87000000-88000000	12	0	67	25	Nonsyntenic
9:88000000-89000000	5	0	65	23	maize1
9:89000000-90000000	12	0	60	29	maize1
9:90000000-91000000	13	1	61	27	maize1
9:91000000-92000000	15	2	65	23	maize1
9:92000000-93000000	16	4	66	26	Nonsyntenic
9:93000000-94000000	12	3	65	34	maize1
9:94000000-95000000	16	2	69	32	maize1
9:95000000-96000000	10	0	68	32	Nonsyntenic
9:96000000-97000000	13	0	68	29	maize1
9:97000000-98000000	13	0	66	30	maize1
9:98000000-99000000	13	2	68	40	maize1
9:99000000-100000000	15	0	71	28	maize1
9:100000000-101000000	18	2	68	30	maize1
9:101000000-102000000	15	4	69	34	maize1
9:102000000-103000000	21	3	67	20	maize1
9:103000000-104000000	27	4	60	28	maize1
9:104000000-105000000	22	5	60	34	maize1
9:105000000-106000000	13	0	51	32	maize1
9:106000000-107000000	21	4	63	31	Nonsyntenic
9:107000000-108000000	15	2	59	28	maize1
9:108000000-109000000	36	8	64	25	Nonsyntenic
9:109000000-110000000	12	0	63	32	maize1
9:110000000-111000000	11	2	70	16	maize1
9:111000000-112000000	16	2	69	41	Nonsyntenic
9:112000000-113000000	9	0	67	23	maize1
9:113000000-114000000	21	0	64	29	maize1
9:114000000-115000000	18	2	64	33	maize1
9:115000000-116000000	16	2	67	33	Nonsyntenic
9:116000000-117000000	25	0	61	37	maize2
9:117000000-118000000	20	2	56	38	maize2
9:118000000-119000000	20	10	67	35	maize2
9:119000000-120000000	26	7	68	22	maize2
9:120000000-121000000	26	2	61	35	Nonsyntenic
9:121000000-122000000	25	2	64	31	maize2
9:122000000-123000000	15	6	69	33	maize2
9:123000000-124000000	16	3	65	23	maize2
9:124000000-125000000	22	0	63	43	maize2
9:125000000-126000000	20	0	66	31	maize2
9:126000000-127000000	30	3	66	35	maize2
9:127000000-128000000	23	0	55	36	Nonsyntenic
9:128000000-129000000	27	2	68	35	Nonsyntenic
9:129000000-130000000	29	11	61	29	maize2
9:130000000-131000000	28	0	61	29	maize2
9:131000000-132000000	16	0	64	35	maize2
9:132000000-133000000	18	0	62	33	maize2
9:133000000-134000000	18	0	62	36	maize2
9:134000000-135000000	17	4	64	36	maize2
9:135000000-136000000	18	1	64	36	maize2
9:136000000-137000000	28	0	59	34	maize2
9:137000000-138000000	30	4	66	45	maize2
9:138000000-139000000	24	6	72	38	maize2
9:139000000-140000000	40	0	60	38	maize2
9:140000000-141000000	24	2	64	33	maize2
9:141000000-142000000	36	5	72	41	maize2
9:142000000-143000000	35	3	57	34	maize2
9:143000000-144000000	31	0	64	31	maize2
9:144000000-145000000	34	6	60	32	maize2
9:145000000-146000000	36	6	50	38	maize2
9:146000000-147000000	26	0	68	32	maize2
9:147000000-148000000	29	2	58	37	maize2
9:148000000-149000000	35	2	65	44	maize2
9:149000000-150000000	31	2	60	33	maize2
9:150000000-151000000	50	4	59	41	maize2
9:151000000-152000000	28	5	65	29	maize2
9:152000000-153000000	44	8	54	46	maize2
9:153000000-154000000	37	10	50	35	maize2
9:154000000-155000000	61	8	52	37	Nonsyntenic
9:155000000-156000000	54	4	54	34	maize2
9:156000000-157000000	49	0	49	35	Nonsyntenic
9:157000000-158000000	46	4	52	25	maize2
9:158000000-159000000	29	3	47	35	Nonsyntenic
9:159000000-159769782	8	0	54	22	Nonsyntenic
10:0-1000000	21	8	67	30	maize1
10:1000000-2000000	33	6	64	48	maize1
10:2000000-3000000	39	13	60	27	maize1
10:3000000-4000000	32	16	72	32	maize1
10:4000000-5000000	42	12	58	37	maize1
10:5000000-6000000	37	7	65	33	maize1
10:6000000-7000000	25	7	72	36	maize1
10:7000000-8000000	22	15	77	27	maize1
10:8000000-9000000	19	0	65	33	maize1
10:9000000-10000000	15	3	63	31	maize1
10:10000000-11000000	32	4	66	34	maize1
10:11000000-12000000	16	4	63	34	maize1
10:12000000-13000000	17	2	71	32	Nonsyntenic
10:13000000-14000000	19	0	68	40	Nonsyntenic
10:14000000-15000000	9	1	64	21	maize1
10:15000000-16000000	14	2	67	29	Nonsyntenic
10:16000000-17000000	20	2	79	19	Nonsyntenic
10:17000000-18000000	10	3	65	22	maize1
10:18000000-19000000	19	0	54	35	maize1
10:19000000-20000000	15	2	65	21	maize1
10:20000000-21000000	6	0	65	31	Nonsyntenic
10:21000000-22000000	3	0	69	27	Nonsyntenic
10:22000000-23000000	11	2	69	32	Nonsyntenic
10:23000000-24000000	18	0	70	33	maize1
10:24000000-25000000	5	0	69	34	maize1
10:25000000-26000000	17	4	57	32	maize1
10:26000000-27000000	15	2	73	21	maize1
10:27000000-28000000	14	5	63	30	maize1
10:28000000-29000000	10	0	64	24	maize1
10:29000000-30000000	5	0	70	30	maize1
10:30000000-31000000	8	2	71	29	Nonsyntenic
10:31000000-32000000	7	0	69	22	maize1
10:32000000-33000000	6	0	65	23	maize1
10:33000000-34000000	5	0	78	18	maize1
10:34000000-35000000	8	0	67	23	maize1
10:35000000-36000000	10	0	62	25	maize1
10:36000000-37000000	6	0	63	25	maize1
10:37000000-38000000	7	2	73	34	maize1
10:38000000-39000000	9	0	67	34	maize1
10:39000000-40000000	6	0	64	24	maize1
10:40000000-41000000	11	0	67	20	Nonsyntenic
10:41000000-42000000	5	0	65	27	Nonsyntenic
10:42000000-43000000	4	0	67	20	maize1
10:43000000-44000000	3	0	74	20	maize1
10:44000000-45000000	3	0	75	25	maize1
10:45000000-46000000	3	0	68	27	maize1
10:46000000-47000000	8	0	66	25	maize1
10:47000000-48000000	1	0	65	20	maize1
10:48000000-49000000	6	0	68	25	Nonsyntenic
10:49000000-50000000	7	0	66	19	Nonsyntenic
10:50000000-51000000	6	0	66	11	Nonsyntenic
10:51000000-52000000	5	0	73	26	Nonsyntenic
10:52000000-53000000	6	0	70	18	Nonsyntenic
10:53000000-54000000	8	0	59	22	Nonsyntenic
10:54000000-55000000	8	0	73	24	maize1
10:55000000-56000000	8	0	70	27	Nonsyntenic
10:56000000-57000000	8	4	69	32	Nonsyntenic
10:57000000-58000000	4	0	72	28	maize1
10:58000000-59000000	12	0	64	28	maize1
10:59000000-60000000	16	1	64	38	maize1
10:60000000-61000000	7	1	67	28	maize1
10:61000000-62000000	7	0	60	24	maize1
10:62000000-63000000	9	2	61	29	maize1
10:63000000-64000000	10	0	74	36	maize1
10:64000000-65000000	11	0	62	30	maize1
10:65000000-66000000	13	0	69	30	maize1
10:66000000-67000000	12	2	67	26	maize1
10:67000000-68000000	8	0	74	22	maize1
10:68000000-69000000	17	5	61	40	maize1
10:69000000-70000000	11	0	68	27	maize1
10:70000000-71000000	23	0	69	25	Nonsyntenic
10:71000000-72000000	15	3	73	26	maize1
10:72000000-73000000	11	1	64	36	maize1
10:73000000-74000000	9	4	44	23	maize1
10:74000000-75000000	14	0	67	33	maize1
10:75000000-76000000	11	0	70	31	maize1
10:76000000-77000000	12	0	62	40	maize1
10:77000000-78000000	12	2	68	30	maize1
10:78000000-79000000	17	5	70	31	maize1
10:79000000-80000000	15	2	65	33	maize1
10:80000000-81000000	19	7	65	33	maize1
10:81000000-82000000	13	2	75	35	maize1
10:82000000-83000000	21	7	59	44	maize1
10:83000000-84000000	20	4	81	32	maize1
10:84000000-85000000	20	0	64	32	Nonsyntenic
10:85000000-86000000	21	8	57	38	maize1
10:86000000-87000000	12	7	75	35	maize1
10:87000000-88000000	16	2	62	42	maize1
10:88000000-89000000	21	6	63	33	maize1
10:89000000-90000000	14	1	67	30	maize1
10:90000000-91000000	23	5	72	38	maize1
10:91000000-92000000	16	2	64	27	Nonsyntenic
10:92000000-93000000	4	0	65	35	maize2
10:93000000-94000000	12	2	63	24	maize2
10:94000000-95000000	15	2	63	43	maize2
10:95000000-96000000	15	0	68	30	maize2
10:96000000-97000000	23	8	60	33	Nonsyntenic
10:97000000-98000000	17	4	60	40	Nonsyntenic
10:98000000-99000000	9	0	65	38	Nonsyntenic
10:99000000-100000000	13	1	64	26	Nonsyntenic
10:100000000-101000000	15	3	64	25	maize2
10:101000000-102000000	13	0	56	27	maize2
10:102000000-103000000	18	0	64	34	Nonsyntenic
10:103000000-104000000	11	0	62	26	maize2
10:104000000-105000000	12	0	69	22	Nonsyntenic
10:105000000-106000000	16	0	56	32	Nonsyntenic
10:106000000-107000000	18	2	60	33	Nonsyntenic
10:107000000-108000000	13	0	67	33	Nonsyntenic
10:108000000-109000000	18	2	56	29	Nonsyntenic
10:109000000-110000000	14	0	62	36	maize2
10:110000000-111000000	21	2	63	42	Nonsyntenic
10:111000000-112000000	17	4	65	45	maize2
10:112000000-113000000	19	0	65	30	maize2
10:113000000-114000000	17	1	63	27	maize2
10:114000000-115000000	26	1	62	31	maize2
10:115000000-116000000	22	2	63	38	maize2
10:116000000-117000000	23	13	68	28	maize2
10:117000000-118000000	16	0	62	46	maize2
10:118000000-119000000	27	0	70	40	maize2
10:119000000-120000000	20	0	61	26	maize2
10:120000000-121000000	30	4	55	32	maize2
10:121000000-122000000	22	2	64	32	maize2
10:122000000-123000000	26	8	64	33	maize2
10:123000000-124000000	31	19	57	41	maize2
10:124000000-125000000	28	4	67	31	maize2
10:125000000-126000000	25	0	66	28	maize2
10:126000000-127000000	32	2	65	43	maize2
10:127000000-128000000	20	0	62	26	maize2
10:128000000-129000000	25	2	62	30	maize2
10:129000000-130000000	26	0	65	37	maize2
10:130000000-131000000	23	2	64	38	maize2
10:131000000-132000000	32	4	60	35	maize2
10:132000000-133000000	14	5	69	28	maize2
10:133000000-134000000	39	10	67	41	maize2
10:134000000-135000000	28	0	56	35	maize2
10:135000000-136000000	33	0	63	28	Nonsyntenic
10:136000000-137000000	30	3	67	29	Nonsyntenic
10:137000000-138000000	24	0	71	35	Nonsyntenic
10:138000000-139000000	33	0	61	30	maize2
10:139000000-140000000	28	2	57	27	maize2
10:140000000-141000000	43	14	60	51	Nonsyntenic
10:141000000-142000000	28	3	65	39	maize2
10:142000000-143000000	36	1	58	36	maize2
10:143000000-144000000	43	0	62	43	maize2
10:144000000-145000000	35	5	59	30	maize2
10:145000000-146000000	42	5	61	36	maize2
10:146000000-147000000	39	5	57	39	maize2
10:147000000-148000000	45	2	61	34	maize2
10:148000000-149000000	57	4	55	32	maize2
10:149000000-150000000	59	2	61	44	maize2
10:150000000-150982314	20	0	67	41	Nonsyntenic
